Source,Gifts,Money income before taxes,Personal taxes
464579,,20352.5,
477374,,13703.4,
482012,,18450.2,
483005,,4521.72,415.16
492850,630.62,19821.5,
516873,,67163.2,
536906,115.42,2614.97,
541907,357.94,7219.68,7.79
544636,777.87,38582.0,
546593,1878.82,7720.52,
557269,,4724.3,35.87
566580,19.13,3158.36,
569329,498.36,9478.52,
571369,7855.5,141744.0,
579305,1119.39,27376.1,
580798,792.79,8773.28,1502.52
584457,326.38,4963.3,
585606,563.88,3906.88,
588172,450.54,4410.78,
601496,,8395.12,
628320,369.59,10065.5,
636721,32.96,13157.7,486.33
639642,850.33,17549.4,
655963,2502.66,109907.0,
657526,,37449.4,
