Source,Time,Target,Weight,TargetLocation
580798,2025-01-16 00:00:00,625756,5.0,3.0
580798,2025-01-16 00:00:00,625756,5.0,3.0
580798,2025-01-16 00:00:00,625756,5.0,3.0
580798,2025-01-16 00:00:00,625756,5.0,3.0
580798,2025-01-16 00:00:00,625756,5.0,3.0
492850,2025-01-20 00:00:00,625756,-1.0,3.0
492850,2025-01-20 00:00:00,625756,-1.0,3.0
492850,2025-01-20 00:00:00,625756,-1.0,3.0
492850,2025-01-20 00:00:00,625756,-1.0,3.0
492850,2025-01-20 00:00:00,625756,-1.0,3.0
569329,2025-03-22 00:00:00,561157,-1.0,0.0
569329,2025-03-22 00:00:00,561157,-1.0,0.0
569329,2025-03-22 00:00:00,561157,-1.0,0.0
569329,2025-03-22 00:00:00,561157,-1.0,0.0
569329,2025-03-22 00:00:00,561157,-1.0,0.0
580798,2025-04-11 01:00:00,509607,1.0,4.0
580798,2025-04-11 01:00:00,509607,1.0,4.0
580798,2025-04-11 01:00:00,509607,1.0,4.0
580798,2025-04-11 01:00:00,509607,1.0,4.0
580798,2025-04-11 01:00:00,509607,1.0,4.0
482012,2025-04-15 01:00:00,561157,3.0,0.0
482012,2025-04-15 01:00:00,561157,3.0,0.0
482012,2025-04-15 01:00:00,561157,3.0,0.0
482012,2025-04-15 01:00:00,561157,3.0,0.0
482012,2025-04-15 01:00:00,561157,3.0,0.0
492850,2025-04-21 01:00:00,625756,-1.0,3.0
492850,2025-04-21 01:00:00,625756,-1.0,3.0
492850,2025-04-21 01:00:00,625756,-1.0,3.0
492850,2025-04-21 01:00:00,625756,-1.0,3.0
492850,2025-04-21 01:00:00,625756,-1.0,3.0
482012,2025-05-02 01:00:00,509607,3.0,4.0
482012,2025-05-02 01:00:00,509607,3.0,4.0
482012,2025-05-02 01:00:00,509607,3.0,4.0
482012,2025-05-02 01:00:00,509607,3.0,4.0
482012,2025-05-02 01:00:00,509607,3.0,4.0
482012,2025-05-11 01:00:00,625756,-1.0,3.0
482012,2025-05-11 01:00:00,625756,-1.0,3.0
482012,2025-05-11 01:00:00,625756,-1.0,3.0
482012,2025-05-11 01:00:00,625756,-1.0,3.0
482012,2025-05-11 01:00:00,625756,-1.0,3.0
569329,2025-05-27 01:00:00,657173,1.0,1.0
569329,2025-05-27 01:00:00,657173,1.0,1.0
569329,2025-05-27 01:00:00,657173,1.0,1.0
569329,2025-05-27 01:00:00,657173,1.0,1.0
569329,2025-05-27 01:00:00,657173,1.0,1.0
569329,2025-06-14 01:00:00,561157,-1.0,0.0
569329,2025-06-14 01:00:00,561157,-1.0,0.0
569329,2025-06-14 01:00:00,561157,-1.0,0.0
569329,2025-06-14 01:00:00,561157,-1.0,0.0
569329,2025-06-14 01:00:00,561157,-1.0,0.0
580798,2025-06-21 01:00:00,499467,-1.0,2.0
580798,2025-06-21 01:00:00,499467,-1.0,2.0
580798,2025-06-21 01:00:00,499467,-1.0,2.0
580798,2025-06-21 01:00:00,499467,-1.0,2.0
580798,2025-06-21 01:00:00,499467,-1.0,2.0
464579,2025-06-26 01:00:00,625756,5.0,3.0
464579,2025-06-26 01:00:00,625756,5.0,3.0
464579,2025-06-26 01:00:00,625756,5.0,3.0
464579,2025-06-26 01:00:00,625756,5.0,3.0
464579,2025-06-26 01:00:00,625756,5.0,3.0
569329,2025-07-04 01:00:00,561157,-1.0,0.0
569329,2025-07-04 01:00:00,561157,-1.0,0.0
569329,2025-07-04 01:00:00,561157,-1.0,0.0
569329,2025-07-04 01:00:00,561157,-1.0,0.0
569329,2025-07-04 01:00:00,561157,-1.0,0.0
482012,2025-07-31 01:00:00,616453,2.0,5.0
482012,2025-07-31 01:00:00,616453,2.0,5.0
482012,2025-07-31 01:00:00,616453,2.0,5.0
482012,2025-07-31 01:00:00,616453,2.0,5.0
482012,2025-07-31 01:00:00,616453,2.0,5.0
569329,2025-08-03 01:00:00,509607,4.0,4.0
569329,2025-08-03 01:00:00,509607,4.0,4.0
569329,2025-08-03 01:00:00,509607,4.0,4.0
569329,2025-08-03 01:00:00,509607,4.0,4.0
569329,2025-08-03 01:00:00,509607,4.0,4.0
492850,2025-11-11 00:00:00,616453,4.0,5.0
492850,2025-11-11 00:00:00,616453,4.0,5.0
492850,2025-11-11 00:00:00,616453,4.0,5.0
492850,2025-11-11 00:00:00,616453,4.0,5.0
492850,2025-11-11 00:00:00,616453,4.0,5.0
569329,2025-11-11 00:00:00,499467,5.0,2.0
569329,2025-11-11 00:00:00,499467,5.0,2.0
569329,2025-11-11 00:00:00,499467,5.0,2.0
569329,2025-11-11 00:00:00,499467,5.0,2.0
569329,2025-11-11 00:00:00,499467,5.0,2.0
492850,2025-11-13 00:00:00,616453,6.0,5.0
492850,2025-11-13 00:00:00,616453,6.0,5.0
492850,2025-11-13 00:00:00,616453,6.0,5.0
492850,2025-11-13 00:00:00,616453,6.0,5.0
492850,2025-11-13 00:00:00,616453,6.0,5.0
569329,2025-11-25 00:00:00,616453,1.0,5.0
569329,2025-11-25 00:00:00,616453,1.0,5.0
569329,2025-11-25 00:00:00,616453,1.0,5.0
569329,2025-11-25 00:00:00,616453,1.0,5.0
569329,2025-11-25 00:00:00,616453,1.0,5.0
580798,2025-11-25 00:00:00,657173,4.0,1.0
580798,2025-11-25 00:00:00,657173,4.0,1.0
580798,2025-11-25 00:00:00,657173,4.0,1.0
580798,2025-11-25 00:00:00,657173,4.0,1.0
580798,2025-11-25 00:00:00,657173,4.0,1.0
569329,2025-11-30 00:00:00,625756,4.0,3.0
569329,2025-11-30 00:00:00,625756,4.0,3.0
569329,2025-11-30 00:00:00,625756,4.0,3.0
569329,2025-11-30 00:00:00,625756,4.0,3.0
569329,2025-11-30 00:00:00,625756,4.0,3.0
492850,2025-12-02 00:00:00,625756,-1.0,3.0
492850,2025-12-02 00:00:00,625756,-1.0,3.0
492850,2025-12-02 00:00:00,625756,-1.0,3.0
492850,2025-12-02 00:00:00,625756,-1.0,3.0
492850,2025-12-02 00:00:00,625756,-1.0,3.0
464579,2025-12-13 00:00:00,561157,-1.0,0.0
464579,2025-12-13 00:00:00,561157,-1.0,0.0
464579,2025-12-13 00:00:00,561157,-1.0,0.0
464579,2025-12-13 00:00:00,561157,-1.0,0.0
464579,2025-12-13 00:00:00,561157,-1.0,0.0
