Source,Alcohol,Apparel and services,Donations,Education,Electricity,Entertainment,Groceries,Healthcare,Home maintenance,Household furnishings,Household operations,Housekeeping supplies,Lodging away from home,Miscellaneous,Mortgage payments,Natural gas,Personal care products and services,Personal insurance and pensions,Personal taxes,Property taxes,Reading,Rented dwellings,Restaurants,Telephone services,Tobacco,Transportation,Water and other public services
464579,1574.64,,1840.03,1895.87,1294.57,,9000.7,,5352.39,1737.76,1267.62,741.67,,7921.31,,,950.28,1900.95,6540.04,4204.22,119.85,,5666.86,,,5627.55,1363.77
477374,272.05,,1136.23,,56.24,,692.91,,715.96,710.23,180.66,34.71,191.21,2295.07,272.08,,,1045.51,1198.06,622.83,64.76,,897.96,24.56,146.83,333.32,330.65
482012,283.45,772.3,133.42,988.82,696.89,,1267.93,,,3734.96,447.06,114.8,,2688.4,,,100.2,,2516.93,,41.22,5124.17,,512.19,,6672.05,369.53
483005,273.13,578.05,138.96,2077.39,265.53,,1796.07,,562.84,269.26,856.97,339.53,,839.07,3561.76,309.77,,743.14,,950.07,,,147.51,576.65,304.09,1337.98,424.78
492850,49.18,,15.21,,355.75,,1598.86,500.25,1243.11,311.58,,392.32,2215.63,1845.5,,,,1663.24,1039.37,734.04,136.34,,344.5,512.35,,10152.6,380.93
516873,364.94,3586.36,,4771.52,1033.21,,2110.77,,1367.23,1459.69,3838.17,552.41,4952.46,2835.05,31264.8,,314.77,,97608.4,3068.77,,,9585.05,3966.64,1118.65,10798.3,875.9
536906,173.56,166.04,,3283.68,392.75,351.2,309.24,,,158.92,724.28,278.73,852.11,,,,334.44,1525.27,97.12,,,1844.96,,,,,165.42
541907,3.66,492.28,465.34,,206.59,332.15,733.14,,,43.82,120.76,245.0,461.43,435.81,,,114.54,1097.67,,,,2670.87,,371.91,,,195.12
544636,157.01,1135.68,3506.07,1345.64,585.1,,781.41,,,362.15,,482.61,,1866.86,,826.9,31.31,11603.1,7595.77,,78.41,6870.03,1823.33,266.98,648.85,1166.13,408.08
546593,667.15,,1277.66,5961.09,679.18,,1011.45,,,2378.14,1527.56,1102.59,4144.21,6321.04,,,,4241.32,1986.66,,,9245.31,,1259.95,,,1042.23
557269,49.47,,326.47,,103.21,114.05,603.25,730.33,655.13,85.76,,121.83,,1070.35,1351.44,,,422.1,,517.84,,,478.86,226.22,,,203.94
566580,103.7,1188.57,,1649.44,49.59,,1583.24,,,584.72,,,,,788.91,,221.39,,106.88,,,1740.54,2275.25,,132.44,3687.2,81.43
569329,775.94,609.94,720.96,2970.54,1168.89,,3991.31,,115.79,2165.12,,,,1790.61,,,,4210.97,1452.84,2061.71,,,2.39,1021.95,,14649.5,615.23
571369,580.13,6237.13,4033.83,1752.47,2069.84,,6710.84,,4328.33,2302.65,2505.02,,,13236.0,4412.93,,1665.05,,25968.1,5371.76,1469.8,,,,1746.28,39565.6,1403.61
579305,709.81,3014.6,4096.56,,1704.0,,5024.56,,1610.81,80.93,3210.12,181.37,2187.16,,14454.6,,301.26,2358.23,874.84,3653.69,271.1,,2968.37,756.21,,17251.3,902.26
580798,48.73,1334.54,,1975.82,146.95,,21.11,,426.21,713.31,187.42,168.32,,1514.53,,,,109.02,,993.98,,,17.58,262.83,,4659.92,4.44
584457,61.59,843.95,31.71,,,,137.73,,1488.77,127.35,,111.43,2064.53,1347.57,,,,1088.44,736.57,594.22,123.98,,1285.34,53.76,383.6,2645.89,301.58
585606,25.63,1133.39,611.41,,56.59,,979.7,,1624.18,1396.83,,317.77,531.78,1002.26,4660.12,636.46,61.78,,426.85,395.03,67.06,,,,,6110.68,705.58
588172,187.26,331.34,,413.23,209.5,,594.06,,,119.39,177.9,18.64,,,224.71,,188.27,509.54,661.16,,14.11,1670.19,706.54,,,,198.14
601496,430.54,1009.57,331.23,468.27,513.06,400.64,813.91,,,1078.45,168.6,111.51,875.81,1997.14,,,47.31,483.42,206.88,,66.41,4789.41,1547.32,391.11,,1817.39,466.44
628320,162.71,1019.65,964.22,597.67,235.4,,1626.88,1444.23,48.44,335.43,669.5,151.93,,2076.09,,,208.23,414.14,356.86,422.27,64.94,,940.97,430.79,198.72,1687.09,284.91
636721,240.67,1235.58,433.38,,400.82,,1862.42,,,983.64,252.2,,2841.47,1518.22,796.16,,44.14,646.98,,,149.78,1639.51,,,,,569.33
639642,355.3,,1346.99,419.38,553.99,,692.16,907.2,854.36,1451.89,1379.15,,,2033.67,450.07,,8.34,3262.45,1983.78,1415.71,75.2,,1965.25,277.86,,3458.5,782.44
655963,905.62,1483.75,,4425.31,3416.1,,7064.27,,,2511.28,3670.14,,4569.15,,3952.68,,1960.36,7517.28,15948.0,,524.95,23697.1,5185.15,3230.1,296.85,15436.2,1515.98
657526,102.03,691.57,984.37,1444.46,377.67,,1237.39,3697.33,432.71,417.98,,896.12,6387.94,2152.02,317.61,864.13,,6893.61,7935.6,1133.34,,,,2708.62,,,649.81
