Source,Target,Weight
569329,Gifts,498.36
588172,Gifts,450.54
492850,Gifts,630.62
636721,Gifts,32.96
580798,Gifts,792.79
546593,Gifts,1878.82
536906,Gifts,115.42
569329,Money income before taxes,9478.52
482012,Money income before taxes,18450.2
588172,Money income before taxes,4410.78
492850,Money income before taxes,19821.5
636721,Money income before taxes,13157.7
580798,Money income before taxes,8773.28
546593,Money income before taxes,7720.52
657526,Money income before taxes,37449.4
536906,Money income before taxes,2614.97
464579,Money income before taxes,20352.5
636721,Personal taxes,486.33
580798,Personal taxes,1502.52
557269,Money income before taxes,4724.3
557269,Personal taxes,35.87
655963,Gifts,2502.66
655963,Money income before taxes,109907.0
639642,Gifts,850.33
639642,Money income before taxes,17549.4
585606,Gifts,563.88
585606,Money income before taxes,3906.88
571369,Gifts,7855.5
571369,Money income before taxes,141744.0
516873,Money income before taxes,67163.2
566580,Gifts,19.13
566580,Money income before taxes,3158.36
477374,Money income before taxes,13703.4
584457,Gifts,326.38
584457,Money income before taxes,4963.3
544636,Gifts,777.87
544636,Money income before taxes,38582.0
483005,Money income before taxes,4521.72
483005,Personal taxes,415.16
579305,Gifts,1119.39
579305,Money income before taxes,27376.1
601496,Money income before taxes,8395.12
628320,Gifts,369.59
628320,Money income before taxes,10065.5
541907,Gifts,357.94
541907,Money income before taxes,7219.68
541907,Personal taxes,7.79
