,0,1,2,3,4,5
585606,0,0,0,0,0,0
584457,0,0,0,0,0,0
516873,0,0,0,0,0,0
558089,0,0,0,0,0,0
588172,0,0,0,0,0,0
580237,0,0,0,0,0,0
571670,0,0,0,0,0,0
601496,0,0,0,0,0,0
639642,0,0,0,0,0,0
546593,0,0,0,0,0,0
611238,0,0,0,0,0,0
516393,0,0,0,0,0,0
636721,0,0,0,0,0,0
492850,0,0,0,-15,0,50
566580,0,0,0,0,0,0
483005,0,0,0,0,0,0
580798,0,20,-5,25,5,0
578749,0,0,0,0,0,0
477374,0,0,0,0,0,0
464579,-5,0,0,25,0,0
521673,0,0,0,0,0,0
536906,0,0,0,0,0,0
459726,0,0,0,0,0,0
541907,0,0,0,0,0,0
557269,0,0,0,0,0,0
537816,0,0,0,0,0,0
655963,0,0,0,0,0,0
482012,15,0,0,-5,15,10
628320,0,0,0,0,0,0
579305,0,0,0,0,0,0
571369,0,0,0,0,0,0
623468,0,0,0,0,0,0
500336,0,0,0,0,0,0
569329,-15,5,25,20,20,5
611572,0,0,0,0,0,0
657526,0,0,0,0,0,0
596726,0,0,0,0,0,0
645371,0,0,0,0,0,0
544636,0,0,0,0,0,0
