Source,Alcohol,Apparel and services,Donations,Education,Electricity,Entertainment,Groceries,Healthcare,Home maintenance,Household furnishings,Household operations,Housekeeping supplies,Lodging away from home,Miscellaneous,Mortgage payments,Natural gas,Personal care products and services,Personal insurance and pensions,Personal taxes,Property taxes,Reading,Rented dwellings,Restaurants,Telephone services,Tobacco,Transportation,Water and other public services
477657,116.35,581.82,302.61,,252.01,,718.46,,,437.04,,,565.75,513.34,,,,118.6,162.53,,0.17,1164.18,,,101.86,2123.92,146.31
483784,983.85,36827.8,8666.52,18663.5,2657.09,,6120.39,31733.8,12802.8,572.69,8277.9,1956.93,10303.1,17303.8,,5148.59,2588.25,29938.6,,7333.98,1340.05,,5330.29,18354.9,,,1728.16
524153,1348.59,3609.81,507.95,,143.57,,7740.68,,3631.34,21.71,930.86,315.31,4739.4,6028.1,3196.25,,,,1807.45,2189.28,11.03,,,,229.28,17503.1,1171.36
530990,267.97,797.33,612.18,,29.42,,2126.4,,1109.22,590.84,,390.48,2583.05,2692.27,,,62.83,3451.82,3139.99,134.41,,,,749.67,130.95,7510.12,216.43
549840,223.53,216.7,,2987.84,386.66,,195.71,,713.73,1676.57,,392.46,1291.33,2683.2,248.04,,273.58,2024.76,653.86,643.26,,,345.49,,205.38,4156.52,574.87
561819,109.98,418.66,982.87,366.28,303.21,,699.05,,729.34,2435.24,421.73,1011.27,541.51,661.68,417.69,,262.73,1268.58,460.37,1027.12,,,922.76,,,2497.95,61.95
573137,45.68,,625.06,83.46,322.4,,1725.25,,,248.56,,426.33,2555.9,1210.4,328.93,,297.91,1357.29,1295.19,,,254.74,,53.93,581.83,4835.03,210.35
594308,487.49,2958.78,3002.98,,632.36,,81.19,2240.53,2416.01,657.17,571.12,,71.01,1019.14,190.0,,284.64,3651.56,3468.46,974.96,,,2959.18,247.67,,6971.99,298.61
619322,62.8,1411.22,521.92,83.88,655.16,,1133.88,,1982.88,1504.41,1183.04,235.34,,253.08,712.17,,248.96,4452.55,5634.9,302.5,112.12,,,534.96,444.76,,379.61
631903,236.72,,355.59,,794.81,268.99,1661.68,,,822.66,,717.54,1605.74,2988.87,,,,,3515.59,,62.49,3654.46,2819.24,529.93,310.16,5123.35,205.47
