,0,1,2,3,4,5
538892,0,0,0,0,6,0
516236,0,0,0,0,0,0
599441,0,0,3,1,6,0
534034,0,2,2,5,5,0
635665,6,0,4,5,0,0
520084,0,0,0,0,0,0
529433,0,0,0,0,0,0
607386,0,0,0,0,0,0
568093,1,0,1,1,0,0
492701,0,0,0,0,0,0
466976,0,0,0,0,0,0
584736,0,0,0,0,0,0
478754,0,0,0,0,0,0
493094,0,0,0,0,0,0
570284,6,0,0,4,1,2
541619,0,0,0,0,0,0
657076,0,0,0,0,0,0
542649,0,0,0,0,0,0
575295,0,0,0,0,0,0
610497,0,0,0,0,0,0
536003,0,0,0,0,0,0
544074,0,0,0,0,0,0
464459,0,0,4,2,0,0
500813,0,0,0,0,0,0
649553,0,0,0,1,2,6
604113,0,0,0,0,0,0
643411,1,0,0,0,0,0
493652,0,0,0,0,0,0
643925,5,0,0,3,4,0
568284,0,0,0,0,0,0
508898,0,0,0,0,0,0
578531,0,0,0,0,0,0
521318,0,0,0,0,0,0
572391,0,0,0,0,0,0
612711,1,0,0,0,0,0
614761,0,0,0,0,0,0
542965,0,0,0,0,1,0
598006,3,1,0,0,0,0
536951,0,0,0,0,0,0
629627,0,5,0,3,3,0
585212,0,2,1,0,5,0
628223,0,0,0,0,0,0
