Source,Target,Weight
610497,Tobacco,271.92
610497,Rented dwellings,961.13
610497,Personal insurance and pensions,2020.36
610497,Alcohol,164.35
610497,Water and other public services,516.88
610497,Groceries,707.62
610497,Electricity,382.9
610497,Lodging away from home,299.92
610497,Housekeeping supplies,476.32
610497,Restaurants,191.06
610497,Telephone services,180.33
610497,Apparel and services,365.16
610497,Miscellaneous,1626.32
610497,Personal care products and services,196.78
610497,Household furnishings,91.95
610497,Personal taxes,119.2
610497,Transportation,3200.7
578531,Tobacco,127.15
578531,Natural gas,794.95
578531,Rented dwellings,5216.01
578531,Personal insurance and pensions,4032.44
578531,Alcohol,112.79
578531,Water and other public services,564.37
578531,Groceries,3687.96
578531,Electricity,604.91
578531,Entertainment,1122.89
578531,Lodging away from home,1464.95
578531,Education,4967.63
578531,Housekeeping supplies,951.82
578531,Restaurants,1875.25
578531,Telephone services,765.2
578531,Apparel and services,94.12
578531,Household operations,842.49
578531,Miscellaneous,2131.32
578531,Personal care products and services,779.39
578531,Household furnishings,979.19
578531,Personal taxes,6814.56
578531,Transportation,3994.14
578531,Mortgage payments,1367.71
657076,Tobacco,983.51
657076,Rented dwellings,4887.83
657076,Alcohol,384.3
657076,Water and other public services,595.71
657076,Groceries,2596.98
657076,Electricity,458.72
657076,Lodging away from home,1950.69
657076,Housekeeping supplies,530.82
657076,Restaurants,1922.91
657076,Telephone services,501.28
657076,Apparel and services,1384.47
657076,Household operations,719.92
657076,Miscellaneous,180.6
657076,Household furnishings,242.37
657076,Personal taxes,5823.53
657076,Transportation,7256.03
657076,Mortgage payments,1257.76
478754,Rented dwellings,6376.02
478754,Alcohol,334.0
478754,Water and other public services,546.44
478754,Groceries,1567.57
478754,Electricity,1232.64
478754,Lodging away from home,1763.76
478754,Education,179.32
478754,Restaurants,904.42
478754,Apparel and services,671.78
478754,Household operations,885.78
478754,Reading,132.51
478754,Personal care products and services,105.23
478754,Household furnishings,2312.74
478754,Personal taxes,2277.9
478754,Mortgage payments,611.39
575295,Rented dwellings,1131.09
575295,Alcohol,516.47
575295,Water and other public services,173.64
575295,Groceries,1609.94
575295,Electricity,429.42
575295,Education,2117.18
575295,Housekeeping supplies,277.44
575295,Restaurants,1211.81
575295,Donations,1191.34
575295,Apparel and services,2.91
575295,Household operations,280.94
575295,Reading,60.24
