Source,Time,Location
614761,2025-01-20 08:38:06,1.0
538892,2025-01-21 05:57:35,2.0
614761,2025-01-26 16:51:26,1.0
500813,2025-01-29 16:00:44,1.0
500813,2025-02-06 02:00:21,1.0
614761,2025-02-08 17:29:26,1.0
538892,2025-02-12 18:38:19,2.0
614761,2025-02-15 15:06:58,1.0
500813,2025-02-19 10:13:35,1.0
614761,2025-03-06 10:54:21,1.0
538892,2025-03-25 18:49:35,2.0
614761,2025-03-29 04:15:07,1.0
538892,2025-04-04 06:36:43,2.0
538892,2025-04-06 20:22:03,2.0
538892,2025-04-09 16:01:44,2.0
541619,2025-04-14 04:45:39,4.0
614761,2025-04-15 14:07:16,1.0
493652,2025-04-15 22:50:53,5.0
493652,2025-04-16 13:09:47,5.0
538892,2025-04-17 05:17:31,2.0
541619,2025-04-18 07:33:05,4.0
538892,2025-04-19 10:46:28,2.0
500813,2025-04-22 09:31:04,1.0
541619,2025-04-22 14:11:24,4.0
538892,2025-04-22 14:50:10,2.0
500813,2025-04-22 20:58:11,1.0
493652,2025-04-23 16:28:18,5.0
541619,2025-04-25 03:06:40,4.0
614761,2025-04-27 07:17:45,1.0
538892,2025-04-28 10:28:14,2.0
516236,2025-04-29 15:03:59,0.0
493652,2025-04-30 01:50:33,5.0
493652,2025-04-30 15:54:27,5.0
493652,2025-05-03 19:34:48,5.0
614761,2025-05-04 22:53:45,1.0
614761,2025-05-08 04:28:52,1.0
516236,2025-05-09 05:25:31,0.0
544074,2025-07-18 04:51:12,4.0
544074,2025-07-18 12:46:07,4.0
544074,2025-07-21 18:26:25,4.0
544074,2025-07-23 18:13:52,4.0
544074,2025-07-25 21:19:05,4.0
544074,2025-07-30 12:51:00,4.0
544074,2025-08-05 14:45:16,4.0
544074,2025-08-07 10:34:22,4.0
544074,2025-08-09 14:53:30,4.0
544074,2025-08-10 23:59:49,4.0
544074,2025-08-11 22:08:11,4.0
544074,2025-08-17 00:09:02,4.0
544074,2025-08-18 20:20:05,4.0
544074,2025-08-22 00:20:54,4.0
542965,2025-01-20 08:38:06,2.0
572391,2025-01-21 05:57:35,2.0
500813,2025-01-26 16:51:26,1.0
542965,2025-01-29 16:00:44,2.0
614761,2025-02-06 02:00:21,1.0
500813,2025-02-08 17:29:26,1.0
500813,2025-02-12 18:38:19,1.0
572391,2025-02-15 15:06:58,2.0
572391,2025-02-19 10:13:35,2.0
538892,2025-03-06 10:54:21,2.0
572391,2025-03-25 18:49:35,2.0
500813,2025-03-29 04:15:07,1.0
572391,2025-04-04 06:36:43,2.0
500813,2025-04-06 20:22:03,1.0
542965,2025-04-09 16:01:44,2.0
607386,2025-04-14 04:45:39,0.0
572391,2025-04-15 14:07:16,2.0
607386,2025-04-15 22:50:53,0.0
538892,2025-04-16 13:09:47,2.0
542965,2025-04-17 05:17:31,2.0
607386,2025-04-18 07:33:05,0.0
607386,2025-04-19 10:46:28,0.0
542965,2025-04-22 09:31:04,2.0
607386,2025-04-22 14:11:24,0.0
544074,2025-04-22 14:50:10,4.0
542965,2025-04-22 20:58:11,2.0
516236,2025-04-23 16:28:18,0.0
544074,2025-04-25 03:06:40,4.0
542965,2025-04-27 07:17:45,2.0
493652,2025-04-28 10:28:14,5.0
538892,2025-04-29 15:03:59,2.0
544074,2025-04-30 01:50:33,4.0
541619,2025-04-30 15:54:27,4.0
516236,2025-05-03 19:34:48,0.0
572391,2025-05-04 22:53:45,2.0
572391,2025-05-08 04:28:52,2.0
538892,2025-05-09 05:25:31,2.0
538892,2025-07-18 04:51:12,2.0
541619,2025-07-18 12:46:07,4.0
541619,2025-07-21 18:26:25,4.0
538892,2025-07-23 18:13:52,2.0
541619,2025-07-25 21:19:05,4.0
541619,2025-07-30 12:51:00,4.0
538892,2025-08-05 14:45:16,2.0
541619,2025-08-07 10:34:22,4.0
541619,2025-08-09 14:53:30,4.0
538892,2025-08-10 23:59:49,2.0
538892,2025-08-11 22:08:11,2.0
538892,2025-08-17 00:09:02,2.0
541619,2025-08-18 20:20:05,4.0
541619,2025-08-22 00:20:54,4.0
629627,2025-06-08 19:09:16,1.0
585212,2025-06-15 19:09:16,1.0
629627,2025-06-22 19:09:16,3.0
534034,2025-06-25 19:09:16,1.0
599441,2025-07-01 19:09:16,3.0
534034,2025-07-03 19:09:16,3.0
599441,2025-07-14 19:09:16,4.0
534034,2025-07-16 19:09:16,4.0
599441,2025-07-22 19:09:16,2.0
585212,2025-07-22 19:09:16,4.0
629627,2025-07-24 19:09:16,4.0
585212,2025-07-25 19:09:16,2.0
534034,2025-07-26 19:09:16,2.0
542965,2025-08-09 19:09:16,4.0
635665,2025-08-12 19:09:16,3.0
538892,2025-08-20 19:09:16,4.0
568093,2025-08-21 19:09:16,3.0
568093,2025-08-31 19:09:16,2.0
464459,2025-09-03 19:09:16,3.0
464459,2025-09-10 19:09:16,2.0
635665,2025-09-12 19:09:16,2.0
568093,2025-10-01 19:09:16,0.0
635665,2025-10-02 19:09:16,0.0
570284,2025-10-16 19:09:16,4.0
643925,2025-10-22 19:09:16,3.0
649553,2025-10-23 19:09:16,3.0
570284,2025-11-03 18:09:16,3.0
643925,2025-11-06 18:09:16,4.0
649553,2025-11-08 18:09:16,4.0
570284,2025-11-23 18:09:16,5.0
649553,2025-11-27 18:09:16,5.0
570284,2025-11-28 18:09:16,0.0
643925,2025-11-29 18:09:16,0.0
598006,2025-12-12 18:09:16,1.0
612711,2025-12-15 18:09:16,0.0
598006,2025-12-19 18:09:16,0.0
643411,2025-12-31 18:09:16,0.0
