Source,Target,Weight
604021,Gifts,113.92
604021,Money income before taxes,7756.23
533094,Gifts,26.94
533094,Money income before taxes,25708.9
606043,Gifts,22.11
606043,Money income before taxes,17608.3
595057,Gifts,167.12
595057,Money income before taxes,5705.36
634181,Money income before taxes,15174.5
548320,Gifts,601.85
548320,Money income before taxes,13557.0
505965,Money income before taxes,9945.54
572413,Money income before taxes,12652.9
515794,Gifts,153.68
515794,Money income before taxes,1258.39
563584,Money income before taxes,11708.6
629627,Gifts,336.04
629627,Money income before taxes,6596.71
534034,Money income before taxes,6909.84
599441,Money income before taxes,820.43
585212,Money income before taxes,7023.93
536953,Money income before taxes,6721.34
536953,Personal taxes,617.0
515799,Money income before taxes,5150.48
656156,Money income before taxes,13710.2
552439,Gifts,244.14
552439,Money income before taxes,13256.9
546478,Gifts,652.46
546478,Money income before taxes,8367.13
546478,Personal taxes,1156.32
488928,Money income before taxes,20518.6
488928,Personal taxes,164.14
602912,Money income before taxes,18351.2
533024,Gifts,2270.29
533024,Money income before taxes,34513.1
499312,Gifts,691.62
499312,Money income before taxes,19434.5
464563,Money income before taxes,40893.3
546626,Money income before taxes,13128.4
544615,Money income before taxes,14125.6
533141,Gifts,213.04
533141,Money income before taxes,12388.0
533141,Personal taxes,1499.45
471663,Gifts,791.5
471663,Money income before taxes,14177.3
501047,Money income before taxes,10817.2
501047,Personal taxes,1016.19
534449,Money income before taxes,2249.89
472522,Money income before taxes,5748.55
472522,Personal taxes,1699.98
477138,Money income before taxes,5714.39
477138,Personal taxes,258.62
475811,Gifts,277.92
475811,Money income before taxes,4111.4
475811,Personal taxes,966.1
590265,Money income before taxes,8856.87
590265,Personal taxes,752.56
653390,Gifts,724.17
653390,Money income before taxes,10042.3
573870,Gifts,356.61
573870,Money income before taxes,3019.34
645210,Gifts,437.54
645210,Money income before taxes,29973.6
639051,Gifts,8012.8
639051,Money income before taxes,196567.0
582851,Money income before taxes,18671.5
541017,Gifts,289.46
541017,Money income before taxes,28827.5
563211,Gifts,2700.9
563211,Money income before taxes,33865.0
527597,Money income before taxes,18210.2
