Source,Time,Target,Weight,TargetLocation
629627,2025-09-15 17:27:54,657173,3.0,1.0
629627,2025-09-16 17:27:54,625756,7.0,3.0
534034,2025-09-18 17:27:54,657173,1.0,1.0
534034,2025-09-26 17:27:54,625756,5.0,3.0
599441,2025-09-28 17:27:54,657173,3.0,1.0
585212,2025-10-01 17:27:54,625756,5.0,3.0
599441,2025-10-04 17:27:54,625756,2.0,3.0
585212,2025-10-18 17:27:54,509607,6.0,4.0
534034,2025-10-24 17:27:54,499467,1.0,2.0
585212,2025-10-24 17:27:54,499467,1.0,2.0
629627,2025-10-25 17:27:54,499467,1.0,2.0
534034,2025-10-25 17:27:54,509607,1.0,4.0
599441,2025-10-28 16:27:54,499467,1.0,2.0
629627,2025-10-30 16:27:54,509607,2.0,4.0
599441,2025-10-31 16:27:54,509607,5.0,4.0
572391,2025-11-04 16:27:54,509607,4.0,4.0
542965,2025-11-06 16:27:54,509607,2.0,4.0
635665,2025-11-18 16:27:54,625756,4.0,3.0
538892,2025-11-23 16:27:54,509607,3.0,4.0
464459,2025-11-24 16:27:54,625756,4.0,3.0
568093,2025-11-28 16:27:54,499467,5.0,2.0
568093,2025-12-03 16:27:54,625756,2.0,3.0
635665,2025-12-05 16:27:54,499467,3.0,2.0
464459,2025-12-11 16:27:54,499467,5.0,2.0
