Source,Alcohol,Apparel and services,Donations,Education,Electricity,Entertainment,Groceries,Healthcare,Home maintenance,Household furnishings,Household operations,Housekeeping supplies,Lodging away from home,Miscellaneous,Mortgage payments,Natural gas,Personal care products and services,Personal insurance and pensions,Personal taxes,Property taxes,Reading,Rented dwellings,Restaurants,Telephone services,Tobacco,Transportation,Water and other public services
464563,241.36,,1479.93,2432.58,275.05,832.72,1287.29,2362.89,107.87,171.99,498.09,419.41,824.99,2106.71,1513.56,,328.49,3770.63,5338.67,663.04,5.5,6057.31,2302.42,,,5816.3,499.73
471663,359.29,589.65,372.92,382.24,235.75,,2279.98,,,1616.43,403.43,,1158.45,2341.83,194.61,,401.77,68.49,1252.03,,,,,,,67.22,125.72
472522,149.26,2178.34,233.23,,622.66,627.2,751.42,,,152.82,1014.78,,132.09,3103.23,1990.33,,,518.51,,,222.45,2352.91,,436.19,,693.4,72.22
475811,119.59,723.1,102.41,,5.48,,316.24,,,121.89,39.47,265.86,228.28,,,,116.78,,,,,,1201.2,,,2365.02,434.28
477138,323.7,777.37,957.56,1048.98,185.98,,348.78,,,330.35,,194.3,,,,,,245.84,,,39.66,,420.67,309.72,,,298.45
488928,77.62,208.72,,6.5,320.76,773.91,1888.31,2655.89,1106.18,226.36,,25.88,,1713.46,748.17,618.86,456.15,4060.69,,1199.93,,7091.58,1681.76,532.08,,1944.15,355.15
499312,303.66,722.75,,498.96,596.25,,1652.08,1127.74,1044.11,206.09,644.66,210.09,,1661.06,17.46,,123.72,,2609.85,1801.64,103.71,3749.53,848.71,,,1313.85,611.34
501047,137.84,737.78,826.02,,485.28,,2671.77,,,1144.8,269.63,,251.56,2476.78,,629.48,26.77,929.07,,,,,2970.58,282.3,,4418.43,591.71
505965,79.82,,78.42,489.12,322.05,,82.96,1221.26,271.34,126.48,,572.58,,874.89,647.87,,,3171.42,1141.88,881.15,61.62,3348.11,515.71,141.3,,1428.67,227.65
515794,81.8,,270.56,117.13,,,891.28,460.23,584.6,29.94,262.17,,458.25,,146.35,,160.57,135.71,377.6,180.64,8.05,1596.67,658.22,216.58,,,223.74
515799,129.81,683.83,,,349.45,,446.02,,,475.94,,,1011.71,2272.0,3746.87,,144.34,820.48,688.32,,,,683.75,32.88,,,544.86
527597,202.12,,352.52,273.8,755.8,,548.87,1609.38,401.15,820.07,412.29,385.1,,761.27,273.83,,207.22,2346.63,1277.46,981.94,,3860.15,406.02,167.01,440.68,,680.91
533024,122.51,,894.9,1271.14,636.8,,1087.88,,,1598.44,1483.2,838.17,,2764.54,1421.09,,622.46,3896.34,2385.08,,,4800.15,3030.47,629.02,282.64,221.07,748.85
533094,370.94,1332.94,,1395.87,242.12,,782.5,2267.78,285.79,1348.11,148.27,497.09,,2402.81,,,110.68,1613.63,5654.7,924.08,78.91,3402.76,1242.83,,318.41,,284.32
533141,212.89,757.71,1197.33,,558.24,,886.18,,,2263.32,292.42,203.9,1199.16,2727.48,2176.3,,362.27,,,,105.77,,,85.73,,,179.11
534034,98.45,,243.16,,331.89,,923.82,,,359.29,196.86,,813.98,519.34,543.76,324.44,159.21,98.42,383.24,,37.46,,7.09,24.66,,,217.43
534449,216.81,7.18,605.53,,322.32,,3004.24,,,198.29,,10.19,665.7,2109.64,,,,,285.36,,,1185.68,,,,395.95,813.87
536953,100.1,684.01,404.72,1151.36,140.95,,1530.76,,,1534.03,,129.36,1330.24,1382.9,,,423.04,457.96,,,,,730.47,49.27,,1970.27,972.12
541017,276.94,3532.11,3866.28,195.49,820.82,729.14,3947.64,2432.0,21.36,642.78,484.08,,3067.24,,1292.87,823.05,431.03,6094.45,3517.98,1529.05,180.92,3583.08,1935.69,,,8084.37,635.57
544615,185.85,944.79,909.43,,292.64,,4226.85,,,964.83,29.26,441.68,497.49,2483.79,16.56,,458.4,1209.5,687.54,,133.2,,1859.23,171.51,,,138.81
546478,47.57,494.24,,,318.2,,634.8,,,960.31,37.01,,1477.07,1607.2,600.97,,234.6,1323.35,,,13.42,4391.67,456.72,,,9595.78,71.09
546626,422.9,,431.55,459.16,224.34,,619.61,,,1389.58,507.64,,843.58,538.93,1403.88,,316.14,1910.13,1430.0,,,,,296.4,,,653.41
548320,64.15,520.35,13.93,,500.35,448.03,1531.39,333.79,477.22,1123.42,292.58,357.11,,488.52,575.08,479.23,115.48,878.46,1071.33,156.49,139.89,1270.54,791.93,,,3982.11,340.62
552439,241.27,603.48,738.1,485.44,407.88,,1949.1,,,229.16,433.68,212.58,1173.18,1827.65,35.23,,384.62,862.4,742.59,,,654.53,365.46,,,,264.21
563211,96.34,,820.14,2947.72,801.11,,2348.19,,464.86,2758.33,1218.25,855.53,1121.43,2401.99,,,212.56,5301.34,6505.41,286.6,,4267.76,2739.3,908.48,,855.88,325.71
563584,233.94,637.9,,668.48,88.39,,483.37,1691.94,699.98,795.47,544.88,489.58,693.99,429.92,,347.88,,,939.88,228.24,10.67,2108.03,360.49,,,319.5,551.66
572413,73.26,426.93,447.6,,187.96,,754.28,390.65,428.32,252.47,7.71,,,228.08,92.26,,135.67,1743.69,98.62,416.46,,1983.14,,187.52,88.82,2155.42,295.58
573870,241.38,435.73,481.03,1416.17,257.91,,414.28,,,415.5,184.64,20.72,,746.46,,,274.71,,351.06,,,,639.76,99.74,,1170.2,620.7
582851,59.25,,1318.01,26.02,274.5,,918.16,1548.47,1010.5,945.16,650.69,687.27,1765.12,1331.52,,,629.85,2519.64,4056.11,127.16,,5865.03,,674.77,339.98,3336.95,592.99
585212,91.47,512.49,470.65,556.72,237.14,,1168.03,,,196.97,203.52,,449.99,217.05,233.26,,53.7,313.91,116.19,,,,,23.93,,,213.36
590265,279.16,487.37,,438.82,494.53,,643.53,,,1069.34,357.9,489.27,276.79,411.14,1592.1,,141.13,384.7,,,,,1117.11,155.39,,12740.8,856.28
595057,99.71,,,,272.56,,419.67,,,855.02,273.79,,561.93,913.8,350.13,206.77,129.16,97.02,863.35,,,1361.75,,28.62,,4289.16,337.97
599441,20.01,277.77,68.27,,0.17,,876.96,,,166.02,,41.42,149.8,305.08,107.62,,38.91,61.38,465.15,,19.66,,440.57,63.91,,,173.66
602912,63.04,729.65,,,279.5,,1754.04,2191.45,744.35,272.54,352.81,519.27,4242.5,1079.16,,,,943.0,1776.52,543.7,9.53,1941.85,428.19,,,,401.38
604021,134.84,234.74,421.43,31.35,209.22,,355.82,881.17,561.5,1234.6,,,,176.53,658.78,,92.79,,473.95,766.83,84.22,2258.44,,132.22,,1236.75,193.22
606043,52.3,260.21,639.26,804.23,412.72,,520.41,1829.16,499.47,1067.92,,,1457.54,,,,112.26,373.74,2296.04,210.77,76.04,2361.75,993.32,,,6003.36,288.2
629627,208.98,,54.06,,,,701.57,,,854.79,372.04,40.21,554.9,1001.63,,,,698.93,822.54,,41.97,,485.15,79.87,,1576.9,331.29
634181,184.39,,32.69,1370.33,469.3,,299.54,2233.87,800.36,228.04,354.0,,729.69,1164.48,,,402.65,,3565.2,811.15,47.31,2609.07,912.34,65.04,,2201.95,267.63
639051,131.53,,4821.65,3604.06,628.37,,363.71,,,2175.3,3029.73,74.73,3250.02,1839.38,,,,13536.0,47680.0,,,9218.86,,1281.5,,11164.1,504.52
645210,278.77,2090.93,311.95,157.68,550.46,,1592.06,,,427.59,408.57,418.13,355.15,1135.98,,,1024.9,,1480.23,,,4792.16,1223.88,37.94,,6687.72,713.63
653390,358.62,113.71,331.71,336.03,99.86,509.25,1064.83,,,1763.26,251.39,548.16,890.84,1492.32,2228.22,,,127.56,31.08,,164.8,,948.67,415.63,,,431.14
656156,20.87,879.41,557.16,398.58,335.87,,719.01,,,315.55,369.95,362.16,1291.5,768.46,,,435.05,1205.77,1089.36,,17.64,,412.75,70.98,,4849.31,543.68
