Source,Target,Weight
604021,Rented dwellings,2258.44
604021,Home maintenance,561.5
604021,Healthcare,881.17
604021,Alcohol,134.84
604021,Water and other public services,193.22
604021,Groceries,355.82
604021,Electricity,209.22
604021,Education,31.35
604021,Telephone services,132.22
604021,Donations,421.43
604021,Apparel and services,234.74
604021,Miscellaneous,176.53
604021,Reading,84.22
604021,Property taxes,766.83
604021,Personal care products and services,92.79
604021,Household furnishings,1234.6
604021,Personal taxes,473.95
604021,Transportation,1236.75
604021,Mortgage payments,658.78
533094,Tobacco,318.41
533094,Rented dwellings,3402.76
533094,Home maintenance,285.79
533094,Healthcare,2267.78
533094,Personal insurance and pensions,1613.63
533094,Alcohol,370.94
533094,Water and other public services,284.32
533094,Groceries,782.5
533094,Electricity,242.12
533094,Education,1395.87
533094,Housekeeping supplies,497.09
533094,Restaurants,1242.83
533094,Apparel and services,1332.94
533094,Household operations,148.27
533094,Miscellaneous,2402.81
533094,Reading,78.91
533094,Property taxes,924.08
533094,Personal care products and services,110.68
533094,Household furnishings,1348.11
533094,Personal taxes,5654.7
606043,Rented dwellings,2361.75
606043,Home maintenance,499.47
606043,Healthcare,1829.16
606043,Personal insurance and pensions,373.74
606043,Alcohol,52.3
606043,Water and other public services,288.2
606043,Groceries,520.41
606043,Electricity,412.72
606043,Lodging away from home,1457.54
606043,Education,804.23
606043,Restaurants,993.32
606043,Donations,639.26
606043,Apparel and services,260.21
606043,Reading,76.04
606043,Property taxes,210.77
606043,Personal care products and services,112.26
606043,Household furnishings,1067.92
606043,Personal taxes,2296.04
606043,Transportation,6003.36
595057,Natural gas,206.77
595057,Rented dwellings,1361.75
595057,Personal insurance and pensions,97.02
595057,Alcohol,99.71
595057,Water and other public services,337.97
595057,Groceries,419.67
595057,Electricity,272.56
595057,Lodging away from home,561.93
595057,Telephone services,28.62
595057,Household operations,273.79
595057,Miscellaneous,913.8
595057,Personal care products and services,129.16
595057,Household furnishings,855.02
595057,Personal taxes,863.35
595057,Transportation,4289.16
595057,Mortgage payments,350.13
634181,Rented dwellings,2609.07
634181,Home maintenance,800.36
634181,Healthcare,2233.87
634181,Alcohol,184.39
634181,Water and other public services,267.63
634181,Groceries,299.54
634181,Electricity,469.3
634181,Lodging away from home,729.69
634181,Education,1370.33
634181,Restaurants,912.34
634181,Telephone services,65.04
634181,Donations,32.69
634181,Household operations,354.0
634181,Miscellaneous,1164.48
634181,Reading,47.31
634181,Property taxes,811.15
634181,Personal care products and services,402.65
634181,Household furnishings,228.04
634181,Personal taxes,3565.2
634181,Transportation,2201.95
548320,Natural gas,479.23
548320,Rented dwellings,1270.54
548320,Home maintenance,477.22
548320,Healthcare,333.79
548320,Personal insurance and pensions,878.46
548320,Alcohol,64.15
548320,Water and other public services,340.62
548320,Groceries,1531.39
548320,Electricity,500.35
548320,Entertainment,448.03
548320,Housekeeping supplies,357.11
548320,Restaurants,791.93
548320,Donations,13.93
548320,Apparel and services,520.35
548320,Household operations,292.58
548320,Miscellaneous,488.52
548320,Reading,139.89
548320,Property taxes,156.49
548320,Personal care products and services,115.48
548320,Household furnishings,1123.42
548320,Personal taxes,1071.33
548320,Transportation,3982.11
548320,Mortgage payments,575.08
505965,Rented dwellings,3348.11
505965,Home maintenance,271.34
505965,Healthcare,1221.26
505965,Personal insurance and pensions,3171.42
505965,Alcohol,79.82
505965,Water and other public services,227.65
505965,Groceries,82.96
505965,Electricity,322.05
505965,Education,489.12
505965,Housekeeping supplies,572.58
505965,Restaurants,515.71
505965,Telephone services,141.3
505965,Donations,78.42
505965,Miscellaneous,874.89
505965,Reading,61.62
505965,Property taxes,881.15
505965,Household furnishings,126.48
505965,Personal taxes,1141.88
505965,Transportation,1428.67
505965,Mortgage payments,647.87
572413,Tobacco,88.82
572413,Rented dwellings,1983.14
572413,Home maintenance,428.32
572413,Healthcare,390.65
572413,Personal insurance and pensions,1743.69
572413,Alcohol,73.26
572413,Water and other public services,295.58
572413,Groceries,754.28
572413,Electricity,187.96
572413,Telephone services,187.52
572413,Donations,447.6
572413,Apparel and services,426.93
572413,Household operations,7.71
572413,Miscellaneous,228.08
572413,Property taxes,416.46
572413,Personal care products and services,135.67
572413,Household furnishings,252.47
572413,Personal taxes,98.62
572413,Transportation,2155.42
572413,Mortgage payments,92.26
515794,Rented dwellings,1596.67
515794,Home maintenance,584.6
515794,Healthcare,460.23
515794,Personal insurance and pensions,135.71
515794,Alcohol,81.8
515794,Water and other public services,223.74
515794,Groceries,891.28
515794,Lodging away from home,458.25
515794,Education,117.13
515794,Restaurants,658.22
515794,Telephone services,216.58
515794,Donations,270.56
515794,Household operations,262.17
515794,Reading,8.05
515794,Property taxes,180.64
515794,Personal care products and services,160.57
515794,Household furnishings,29.94
515794,Personal taxes,377.6
515794,Mortgage payments,146.35
563584,Natural gas,347.88
563584,Rented dwellings,2108.03
563584,Home maintenance,699.98
563584,Healthcare,1691.94
563584,Alcohol,233.94
563584,Water and other public services,551.66
563584,Groceries,483.37
563584,Electricity,88.39
563584,Lodging away from home,693.99
563584,Education,668.48
563584,Housekeeping supplies,489.58
563584,Restaurants,360.49
563584,Apparel and services,637.9
563584,Household operations,544.88
563584,Miscellaneous,429.92
563584,Reading,10.67
563584,Property taxes,228.24
563584,Household furnishings,795.47
563584,Personal taxes,939.88
563584,Transportation,319.5
629627,Personal insurance and pensions,698.93
629627,Alcohol,208.98
629627,Water and other public services,331.29
629627,Groceries,701.57
629627,Lodging away from home,554.9
629627,Housekeeping supplies,40.21
629627,Restaurants,485.15
629627,Telephone services,79.87
629627,Donations,54.06
629627,Household operations,372.04
629627,Miscellaneous,1001.63
629627,Reading,41.97
629627,Household furnishings,854.79
629627,Personal taxes,822.54
629627,Transportation,1576.9
534034,Natural gas,324.44
534034,Personal insurance and pensions,98.42
534034,Alcohol,98.45
534034,Water and other public services,217.43
534034,Groceries,923.82
534034,Electricity,331.89
534034,Lodging away from home,813.98
534034,Restaurants,7.09
534034,Telephone services,24.66
534034,Donations,243.16
534034,Household operations,196.86
534034,Miscellaneous,519.34
534034,Reading,37.46
534034,Personal care products and services,159.21
534034,Household furnishings,359.29
534034,Personal taxes,383.24
534034,Mortgage payments,543.76
