Source,Gifts,Money income before taxes,Personal taxes
464563,,40893.3,
471663,791.5,14177.3,
472522,,5748.55,1699.98
475811,277.92,4111.4,966.1
477138,,5714.39,258.62
488928,,20518.6,164.14
499312,691.62,19434.5,
501047,,10817.2,1016.19
505965,,9945.54,
515794,153.68,1258.39,
515799,,5150.48,
527597,,18210.2,
533024,2270.29,34513.1,
533094,26.94,25708.9,
533141,213.04,12388.0,1499.45
534034,,6909.84,
534449,,2249.89,
536953,,6721.34,617.0
541017,289.46,28827.5,
544615,,14125.6,
546478,652.46,8367.13,1156.32
546626,,13128.4,
548320,601.85,13557.0,
552439,244.14,13256.9,
563211,2700.9,33865.0,
563584,,11708.6,
572413,,12652.9,
573870,356.61,3019.34,
582851,,18671.5,
585212,,7023.93,
590265,,8856.87,752.56
595057,167.12,5705.36,
599441,,820.43,
602912,,18351.2,
604021,113.92,7756.23,
606043,22.11,17608.3,
629627,336.04,6596.71,
634181,,15174.5,
639051,8012.8,196567.0,
645210,437.54,29973.6,
653390,724.17,10042.3,
656156,,13710.2,
