Source,Time,Target,Weight,TargetLocation
629627,2025-06-21 20:39:07,625756,4.0,3.0
629627,2025-06-22 20:39:07,657173,2.0,1.0
599441,2025-06-26 20:39:07,657173,5.0,1.0
534034,2025-06-29 20:39:07,657173,3.0,1.0
534034,2025-07-06 20:39:07,625756,4.0,3.0
599441,2025-07-10 20:39:07,625756,4.0,3.0
585212,2025-07-10 20:39:07,657173,5.0,1.0
585212,2025-07-14 20:39:07,625756,5.0,3.0
599441,2025-07-30 20:39:07,509607,4.0,4.0
585212,2025-07-30 20:39:07,509607,3.0,4.0
534034,2025-08-02 20:39:07,499467,5.0,2.0
629627,2025-08-04 20:39:07,499467,2.0,2.0
585212,2025-08-05 20:39:07,499467,5.0,2.0
599441,2025-08-06 20:39:07,499467,2.0,2.0
538892,2025-08-21 20:39:07,509607,1.0,4.0
542965,2025-08-26 20:39:07,509607,5.0,4.0
464459,2025-08-31 20:39:07,625756,1.0,3.0
568093,2025-09-02 20:39:07,625756,2.0,3.0
572391,2025-09-02 20:39:07,509607,2.0,4.0
635665,2025-09-05 20:39:07,499467,1.0,2.0
635665,2025-09-10 20:39:07,625756,1.0,3.0
464459,2025-09-11 20:39:07,499467,2.0,2.0
568093,2025-09-19 20:39:07,499467,2.0,2.0
568093,2025-10-12 20:39:07,561157,2.0,0.0
635665,2025-10-12 20:39:07,561157,1.0,0.0
464459,2025-10-16 20:39:07,561157,1.0,0.0
649553,2025-11-04 19:39:07,509607,4.0,4.0
570284,2025-11-05 19:39:07,509607,1.0,4.0
643925,2025-11-15 19:39:07,625756,2.0,3.0
649553,2025-11-17 19:39:07,625756,3.0,3.0
643925,2025-11-20 19:39:07,509607,5.0,4.0
570284,2025-12-07 19:39:07,616453,5.0,5.0
649553,2025-12-08 19:39:07,616453,5.0,5.0
643925,2025-12-15 19:39:07,561157,4.0,0.0
643925,2025-12-15 19:39:07,616453,3.0,5.0
570284,2025-12-16 19:39:07,561157,2.0,0.0
649553,2025-12-16 19:39:07,561157,2.0,0.0
