Source,Target,Weight
608827,Money income before taxes,143858.0
589639,Gifts,1840.81
589639,Money income before taxes,647030.0
530528,Gifts,1273.93
530528,Money income before taxes,22471.7
635706,Gifts,23825.6
635706,Money income before taxes,619963.0
490041,Money income before taxes,9945.27
554431,Gifts,2533.31
554431,Money income before taxes,25798.3
554431,Personal taxes,1916.13
599956,Gifts,4527.75
599956,Money income before taxes,87411.8
566342,Money income before taxes,11191.5
548513,Gifts,1688.22
548513,Money income before taxes,8328.29
548513,Personal taxes,1057.83
599057,Gifts,1282.76
599057,Money income before taxes,26766.3
599057,Personal taxes,2317.44
568093,Money income before taxes,10786.0
464459,Gifts,453.32
464459,Money income before taxes,51492.7
464459,Personal taxes,3442.81
635665,Gifts,1388.78
635665,Money income before taxes,30019.9
474199,Gifts,556.31
474199,Money income before taxes,7508.97
474199,Personal taxes,500.51
475130,Gifts,1288.3
475130,Money income before taxes,10098.5
596193,Money income before taxes,7055.78
576641,Money income before taxes,2326.88
550361,Money income before taxes,12586.9
463777,Gifts,226.36
463777,Money income before taxes,7392.6
463777,Personal taxes,168.12
654763,Gifts,999.02
654763,Money income before taxes,22959.0
529922,Money income before taxes,47106.5
599063,Gifts,75.86
599063,Money income before taxes,19798.9
622296,Money income before taxes,36123.4
512397,Money income before taxes,32518.9
493044,Money income before taxes,18919.4
592414,Money income before taxes,49976.2
592414,Personal taxes,5471.99
575704,Gifts,596.72
575704,Money income before taxes,31934.9
654981,Gifts,304.79
654981,Money income before taxes,10753.8
575859,Gifts,1267.83
575859,Money income before taxes,3304.77
640464,Gifts,1163.1
640464,Money income before taxes,6292.61
640464,Personal taxes,1089.87
505722,Gifts,7190.11
505722,Money income before taxes,900735.0
517273,Gifts,3161.42
517273,Money income before taxes,121149.0
492286,Money income before taxes,69256.8
636961,Money income before taxes,5807.39
636961,Personal taxes,3209.39
570411,Gifts,209.3
570411,Money income before taxes,76722.1
623295,Gifts,467.09
623295,Money income before taxes,11546.5
492777,Money income before taxes,9732.82
492777,Personal taxes,947.58
629717,Gifts,1091.21
629717,Money income before taxes,21204.9
502591,Gifts,525.02
502591,Money income before taxes,54333.1
569820,Gifts,1702.37
569820,Money income before taxes,202871.0
591682,Money income before taxes,25608.4
632150,Gifts,489.09
632150,Money income before taxes,28528.2
616050,Gifts,637.05
616050,Money income before taxes,43606.4
533140,Gifts,235.04
533140,Money income before taxes,14701.4
