Source,Gifts,Money income before taxes,Personal taxes
463777,226.36,7392.6,168.12
464459,453.32,51492.7,3442.81
474199,556.31,7508.97,500.51
475130,1288.3,10098.5,
490041,,9945.27,
492286,,69256.8,
492777,,9732.82,947.58
493044,,18919.4,
502591,525.02,54333.1,
505722,7190.11,900735.0,
512397,,32518.9,
517273,3161.42,121149.0,
529922,,47106.5,
530528,1273.93,22471.7,
533140,235.04,14701.4,
548513,1688.22,8328.29,1057.83
550361,,12586.9,
554431,2533.31,25798.3,1916.13
566342,,11191.5,
568093,,10786.0,
569820,1702.37,202871.0,
570411,209.3,76722.1,
575704,596.72,31934.9,
575859,1267.83,3304.77,
576641,,2326.88,
589639,1840.81,647030.0,
591682,,25608.4,
592414,,49976.2,5471.99
596193,,7055.78,
599057,1282.76,26766.3,2317.44
599063,75.86,19798.9,
599956,4527.75,87411.8,
608827,,143858.0,
616050,637.05,43606.4,
622296,,36123.4,
623295,467.09,11546.5,
629717,1091.21,21204.9,
632150,489.09,28528.2,
635665,1388.78,30019.9,
635706,23825.6,619963.0,
636961,,5807.39,3209.39
640464,1163.1,6292.61,1089.87
654763,999.02,22959.0,
654981,304.79,10753.8,
