,0,1,2,3,4,5
563584,0,0,0,0,0,0
563211,0,0,0,0,0,0
538892,0,0,0,0,3,0
599441,0,3,1,2,5,0
534034,0,1,1,5,1,0
635665,0,0,3,4,0,0
533141,0,0,0,0,0,0
656156,0,0,0,0,0,0
568093,0,0,5,2,0,0
602912,0,0,0,0,0,0
533024,0,0,0,0,0,0
475811,0,0,0,0,0,0
546478,0,0,0,0,0,0
573870,0,0,0,0,0,0
534449,0,0,0,0,0,0
464563,0,0,0,0,0,0
501047,0,0,0,0,0,0
590265,0,0,0,0,0,0
546626,0,0,0,0,0,0
582851,0,0,0,0,0,0
634181,0,0,0,0,0,0
472522,0,0,0,0,0,0
639051,0,0,0,0,0,0
464459,0,0,5,4,0,0
653390,0,0,0,0,0,0
515794,0,0,0,0,0,0
477138,0,0,0,0,0,0
515799,0,0,0,0,0,0
541017,0,0,0,0,0,0
645210,0,0,0,0,0,0
606043,0,0,0,0,0,0
644830,0,0,0,0,0,0
488928,0,0,0,0,0,0
548320,0,0,0,0,0,0
533094,0,0,0,0,0,0
544615,0,0,0,0,0,0
572391,0,0,0,0,4,0
527597,0,0,0,0,0,0
505965,0,0,0,0,0,0
471663,0,0,0,0,0,0
499312,0,0,0,0,0,0
595057,0,0,0,0,0,0
542965,0,0,0,0,2,0
604021,0,0,0,0,0,0
552439,0,0,0,0,0,0
536953,0,0,0,0,0,0
629627,0,3,1,7,2,0
585212,0,0,1,5,6,0
572413,0,0,0,0,0,0
